ccdc_id,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
FIWXOZ02,3.348900,33.379200,61.378200,91.463400,676.000000,1092.000000,2028.000000,3068.000000,12.000000,20.000000,108.000000,216.000000,408.000000,1.562500,5.625000,11.400000,19.450000,576.271300,1349.902800,2498.032800,3516.816800,2794.000000,7248.000000,13086.000000,18700.000000,95.000000,212.000000,386.000000,532.000000,598.000000,1620.000000,2810.000000,4052.000000,38.949500,105.237200,183.346600,259.292400,-7.260000,-11.580000,-13.380000,114.000000,234.000000,402.000000,18.000000,36.000000,52.000000,3.000000,5.880000,9.440000
FOSBOG,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,702.199900,1690.943200,2988.089600,4168.292000,3440.000000,8992.000000,15462.000000,18672.000000,115.000000,264.000000,462.000000,652.000000,726.000000,1980.000000,3366.000000,4252.000000,49.697100,134.116800,228.889400,296.594000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
FOSCAT,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,702.199900,1690.943200,2988.089600,4168.292000,3440.000000,8992.000000,15462.000000,18672.000000,115.000000,264.000000,462.000000,652.000000,726.000000,1980.000000,3366.000000,4252.000000,49.697100,134.116800,228.889400,296.594000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
FOSCEX,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,702.199900,1690.943200,2988.089600,4168.292000,3440.000000,8992.000000,15462.000000,18672.000000,115.000000,264.000000,462.000000,652.000000,726.000000,1980.000000,3366.000000,4252.000000,49.697100,134.116800,228.889400,296.594000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
FOSCEX01,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,702.199900,1690.943200,2988.089600,4168.292000,3440.000000,8992.000000,15462.000000,18672.000000,115.000000,264.000000,462.000000,652.000000,726.000000,1980.000000,3366.000000,4252.000000,49.697100,134.116800,228.889400,296.594000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
FOSCOH,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,702.199900,1690.943200,2988.089600,4168.292000,3440.000000,8992.000000,15462.000000,18672.000000,115.000000,264.000000,462.000000,652.000000,726.000000,1980.000000,3366.000000,4252.000000,49.697100,134.116800,228.889400,296.594000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
FOYYAU,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,393.425900,930.885200,1734.197200,2404.405200,2732.000000,6392.000000,11162.000000,13312.000000,61.000000,140.000000,254.000000,356.000000,394.000000,1096.000000,1962.000000,2564.000000,28.546700,75.563600,132.865400,175.594800,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
FOYYAU02,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,393.425900,930.885200,1734.197200,2404.405200,2732.000000,6392.000000,11162.000000,13312.000000,61.000000,140.000000,254.000000,356.000000,394.000000,1096.000000,1962.000000,2564.000000,28.546700,75.563600,132.865400,175.594800,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
FOYYAU06,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,393.425900,930.885200,1734.197200,2404.405200,2732.000000,6392.000000,11162.000000,13312.000000,61.000000,140.000000,254.000000,356.000000,394.000000,1096.000000,1962.000000,2564.000000,28.546700,75.563600,132.865400,175.594800,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
GAKKOS03,3.348900,33.379200,46.665000,79.202400,676.000000,1092.000000,1560.000000,3328.000000,10.000000,18.000000,96.000000,192.000000,204.000000,1.562500,5.625000,9.625000,15.200000,267.211900,610.928400,1252.816400,1597.224000,3026.000000,5568.000000,9294.000000,13608.000000,43.000000,96.000000,190.000000,252.000000,286.000000,788.000000,1348.000000,1640.000000,21.670900,54.739600,98.383400,127.274000,-7.260000,-7.200000,-10.340000,114.000000,200.000000,340.000000,20.000000,28.000000,74.000000,3.000000,4.800000,10.340000
