column,hash,SMARTS
Bit32,1866504608,[#6D3v4+0H0R](-[#7D2v3+0H0R]=[#7D3v4+1H0R])(:[#7D3v3+0H0R](-[#6D2v4+0H2R0]):[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D2v4+0H1R]
Bit33,1557008866,[#6D3v4+0H0R](:[#6D2v4+0H1R]:[#6D2v4+0H1R])(:[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D3v4+0H0R]):[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit34,976395797,[#6D3v4+0H0R](-[#16D2v2+0H0R0]-[#6D2v4+0H0R0])(:[#6D3v4+0H0R](-[#16D2v2+0H0R0]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v3+0H0R]
Bit35,-1088023524,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D2v3+0H1R]):[#6D2v4+0H1R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit36,248165198,[#6D3v4+0H0R](-[#6D3v4+0H1R0](-[#6D1v4+0H3R0])-[#6D1v4+0H3R0])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D3v3+0H0R]
Bit37,816734030,[#6D3v4+0H0R](-[#6D3v4+0H0R0](-[#8D1v2+0H1R0])=[#8D1v2+0H0R0])(:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit38,758496557,[#6D2v4+0H2R0](-[#53D1v1+0H0R0])-[#6D2v4+0H2R0]-[#7D3v3+0H0R]
Bit39,1626016656,[#6D2v4+0H2R](-[#7D3v4+1H0R](-[#26D6v6+0H0R])=[#6D3v4+0H0R])-[#6D2v4+0H2R]-[#7D3v4+1H1R]
Bit40,74167451,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R]
Bit41,1055066629,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#7D2v3+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit42,581222078,[#26D6v6+0H0R](-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](-[#6D3v4+0H0R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](-[#6D3v4+0H0R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit43,-1119199380,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#5D4v4-1H0R]):[#6D2v4+0H1R]
Bit44,1281254104,[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v4+1H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R]
Bit45,515009274,[#6D3v4+0H0R](-[#6D4v4+0H0R0](-[#6D3v4+0H0R])(-[#6D3v4+0H0R])-[#7D3v3+0H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit46,-1123051620,[#26D6v6+0H0R](-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v4+1H0R](-[#6D2v4+0H2R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](-[#6D2v4+0H2R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](-[#6D2v4+0H2R])=[#6D3v4+0H0R])-[#7D3v4+1H0R](-[#6D2v4+0H2R])=[#6D3v4+0H0R]
Bit47,318584828,[#6D2v4+0H1R](:[#7D3v3+0H0R](-[#6D3v4+0H1R]):[#7D3v4+1H0R]):[#6D2v4+0H1R]:[#6D3v4+0H0R]
Bit48,-1618060832,[#7D2v4+1H2R](-[#6D2v4+0H2R])-[#26D6v6+0H0R]
Bit49,-382181158,[#6D2v4+0H1R](:[#16D2v2+0H0R]:[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit50,1773022290,[#6D2v4+0H1R](:[#6D2v4+0H1R]):[#7D2v4+1H1R]
Bit51,54265040,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D4v4+0H0R]):[#7D3v4+1H0R]
Bit52,985087923,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D2v3+0H1R]):[#6D2v4+0H1R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#8D1v2+0H1R0]):[#6D2v4+0H1R]
Bit53,56054966,[#7D2v3+0H0R](:[#7D2v3+0H0R]:[#7D3v4+1H0R]):[#7D3v3+0H0R](-[#6D3v4+0H1R0]):[#6D2v4+0H1R]
Bit54,-1149027317,[#6D4v4+0H0R]
Bit55,-1149027318,[#6D4v4+0H0R0]
Bit56,1775454271,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])-[#6D3v4+0H1R](-[#7D3v4+1H1R])-[#6D3v4+0H1R]
Bit57,28661254,[#6D3v4+0H0R](-[#6D1v4+0H3R0])(:[#7D2v3+0H1R]):[#6D2v4+0H1R]
Bit58,-98765787,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])(:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]
Bit59,581222078,[#26D6v6+0H0R](-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](-[#6D3v4+0H0R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](-[#6D3v4+0H0R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit60,-11723717,[#6D2v4+0H1R](:[#6D2v4+0H1R]):[#16D2v2+0H0R]
Bit61,1628854617,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]):[#7D3v3+0H0R](-[#6D1v4+0H3R0]):[#6D3v4+0H0R]
Bit62,706553852,[#8D2v2+0H0R](-[#6D2v4+0H2R]-[#6D4v4+0H0R])-[#6D3v4+0H0R](-[#6D3v4+0H0R])=[#7D3v4+1H0R]
Bit63,-1177244353,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v3+0H0R0])-[#7D2v3+0H0R0])(:[#6D3v4+0H0R](-[#6D2v4+0H2R]):[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit64,976395797,[#6D3v4+0H0R](-[#16D2v2+0H0R0]-[#6D2v4+0H0R0])(:[#6D3v4+0H0R](-[#16D2v2+0H0R0]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v3+0H0R]
Bit65,1930028609,[#7D3v4+1H0R](-[#26D6v6+0H0R])(-[#6D3v4+0H1R0])=[#6D2v4+0H1R]
Bit66,247270681,[#5D3v4-1H1R](-[#7D3v3+0H0R])(-[#7D3v3+0H0R])-[#7D3v3+0H0R]
Bit67,1260040743,[#7D3v3+0H0R](-[#6D2v4+0H2R])(:[#7D3v4+1H0R]):[#6D2v4+0H1R]
