ccdc_id,ion_1,ion_2,ion_3,ion_4,ion_5,ion_6,ion_7,ion_8,ion_9,ion_10,ion_11,ion_12,ion_13,ion_14,ion_15,ion_16,ion_17,ion_18,ion_19,ion_20,ion_21,ion_22,ion_23,ion_24,ion_25,ion_26,ion_27,ion_28,ion_29,ion_30,ion_31,solv_1,solv_2,solv_3,solv_4,solv_5,solv_6,solv_7,solv_8,solv_9,solv_10,solv_11,solv_12,solv_13,solv_14,solv_15,solv_16,solv_17,solv_18,solv_19,solv_20,solv_21
AKEMUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
AKENAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
AKENAF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
APAFEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,0
APAFEM01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0
APAFEM05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0
ATAVAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
ATAVEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
ATAVEY01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
AWUKEK01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
