smi,rename_category
C(Cl)(Cl)Cl,solv_1
C(Cl)Cl,solv_2
C1CCOC1,solv_3
C=CCO,solv_4
CC#N,solv_5
CC(=O)C,solv_6
CC(C)(C)O,solv_7
CC(C)O,solv_8
CC(C)OC(C)C,solv_9
CCCC#N,solv_10
CCCO,solv_11
CCO,solv_12
CCOC(=O)C,solv_13
CCOCC,solv_14
CN(=O)=O,solv_15
CO,solv_16
Cc1ccccc1,solv_17
Cc2cccc(c1ccccn1)n2,solv_18
O,solv_19
c1ccccc1N(=O)=O,solv_20
c1ccncc1,solv_21
