ccdc_id,smi,Spin-state behaviour,Spin-state of crystal structure,rename_id
IZAFOG01,c1cc(nc(c1)C2=NCCO2)C3=NCCO3,spin-crossover,high-spin,lig_56
IZAFOG,c1cc(nc(c1)C2=NCCO2)C3=NCCO3,spin-crossover,low-spin,lig_56
IZAGAT02,c1cc(nc(c1)C2=NCCO2)C3=NCCO3,spin-crossover,mixture,lig_56
IZAGAT,c1cc(nc(c1)C2=NCCO2)C3=NCCO3,spin-crossover,low-spin,lig_56
YEQKIR,CC(C)n1cnnn1,spin-crossover,high-spin,lig_57
PASGOF,C1CN=C(SC1)C2=NCCCS2,spin-crossover,high-spin,lig_58
PASGOF01,C1CN=C(SC1)C2=NCCCS2,spin-crossover,low-spin,lig_58
JAQVUS,Cc1[nH]nc(n1)c2cccc(n2)c3ccccn3,spin-crossover,low-spin,lig_59
NICSEA,c1cnn(c1)c2cc(ccn2)C(=O)O,low-spin,low-spin,lig_60
QAHVIE,c1ccnc(c1)c2nnc(n2N)c3ccccn3,spin-crossover,high-spin,lig_61
QAHVOK,c1ccnc(c1)c2nnc(n2N)c3ccccn3,spin-crossover,high-spin,lig_61
ZUCROE01,c1ccnc(c1)c2nnc(n2N)c3ccccn3,spin-crossover,mixture,lig_61
ZUCROE,c1ccnc(c1)c2nnc(n2N)c3ccccn3,spin-crossover,low-spin,lig_61
IQIJAT02,c1ccnc(c1)c2nnc(n2N)c3ccccn3,spin-crossover,high-spin,lig_61
IQIJAT,c1ccnc(c1)c2nnc(n2N)c3ccccn3,spin-crossover,low-spin,lig_61
HOLSIN,C[N@@](CC[N@](C)Cc1ccc2ccccc2n1)Cc3ccc4ccccc4n3,high-spin,high-spin,lig_62
HOLTAG,C[N@@](CC[N@](C)Cc1ccc2ccccc2n1)Cc3ccc4ccccc4n3,high-spin,high-spin,lig_62
VILZAT,C=CCn1ccc(n1)c2cccc(n2)c3ccn(n3)CC=C,high-spin,high-spin,lig_63
XECMIB01,c1ccc(cc1)c2ccc(cc2)c3ccc(cc3)/N=C/c4ccccn4,spin-crossover,high-spin,lig_64
XECMIB02,c1ccc(cc1)c2ccc(cc2)c3ccc(cc3)/N=C/c4ccccn4,spin-crossover,low-spin,lig_64
REWPOZ,c1cc(nc(c1)n2cc(cn2)Br)n3cc(cn3)Br,spin-crossover,high-spin,lig_65
QAHPIY02,c1cnoc1,spin-crossover,mixture,lig_66
QAHPIY01,c1cnoc1,spin-crossover,mixture,lig_66
FEISXC01,c1cnoc1,spin-crossover,high-spin,lig_66
YIMYID04,Cc1cnn(c1)C(n2cc(cn2)C)n3cc(cn3)C,spin-crossover,high-spin,lig_67
YIMYID02,Cc1cnn(c1)C(n2cc(cn2)C)n3cc(cn3)C,spin-crossover,low-spin,lig_67
QIDKIY,CCCCn1nc(nn1)c2ccc3ccc4cccnc4c3n2,spin-crossover,low-spin,lig_68
FETPYR,c1ccncc1,high-spin,high-spin,lig_69
TISWIC,c1ccncc1,spin-crossover,high-spin,lig_69
TISWIC01,c1ccncc1,spin-crossover,low-spin,lig_69
NETBUJ,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[nH]c5ccccc5n4,spin-crossover,low-spin,lig_70
ILAWUP,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[nH]c5ccccc5n4,high-spin,high-spin,lig_70
ZIKKUC04,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[nH]c5ccccc5n4,spin-crossover,high-spin,lig_70
ZIKKUC,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[nH]c5ccccc5n4,spin-crossover,mixture,lig_70
ZIKMAK09,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[nH]c5ccccc5n4,spin-crossover,mixture,lig_70
ZIKMAK05,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[nH]c5ccccc5n4,spin-crossover,low-spin,lig_70
UCIGUJ,c1ccnc(c1)c2c(c(c([n-]2)c3ccccn3)SC#N)SC#N,high-spin,high-spin,lig_71
WEKJIH,C/C(=N\CCNC)/c1ccccn1,low-spin,low-spin,lig_72
JAQQIB,c1ccnc(c1)C[N@@]2CCNCC[N@@](CC2)Cc3ccccn3,low-spin,low-spin,lig_73
IYUFOX01,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,spin-crossover,high-spin,lig_74
IYUFOX,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,spin-crossover,low-spin,lig_74
NESVOX,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,spin-crossover,high-spin,lig_74
NESVOX02,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,spin-crossover,low-spin,lig_74
NIXWEZ,Cc1ccc(cc1)c2cc(n[nH]2)c3cccc(n3)c4[nH]c5ccccc5n4,spin-crossover,mixture,lig_75
HPZBFE,[BH-](n1cccn1)(n2cccn2)n3cccn3,spin-crossover,low-spin,lig_76
HPZBFE,[BH-](n1cccn1)(n2cccn2)n3cccn3,spin-crossover,low-spin,lig_76
XECNAU01,c1ccc(cc1)/N=N/c2ccc(cc2)/N=C/c3ccccn3,spin-crossover,high-spin,lig_77
XECNAU,c1ccc(cc1)/N=N/c2ccc(cc2)/N=C/c3ccccn3,spin-crossover,low-spin,lig_77
IGEDUU,c1cc(nc(c1)n2cc(cn2)I)n3cc(cn3)I,low-spin,low-spin,lig_78
FENFOW,c1cc2ccc3ccc(nc3c2nc1)/N=N/c4ccc(cc4)Cl,low-spin,low-spin,lig_79
POWSID,c1ccc2c(c1)nc3c4cccnc4c5c(c3n2)cccn5,spin-crossover,high-spin,lig_80
POWSID01,c1ccc2c(c1)nc3c4cccnc4c5c(c3n2)cccn5,spin-crossover,high-spin,lig_80
ZIMMAJ,c1cnc([nH]1)c2[nH]ccn2,high-spin,high-spin,lig_81
TIHTAF01,c1cnc([nH]1)c2[nH]ccn2,spin-crossover,high-spin,lig_81
TIHTAF,c1cnc([nH]1)c2[nH]ccn2,spin-crossover,low-spin,lig_81
RESWES,[BH-](n1c(c(c(n1)C)C)C)(n2c(c(c(n2)C)C)C)n3c(c(c(n3)C)C)C,high-spin,high-spin,lig_82
DOMQON,Cc1ccc2ccc3ccc(nc3c2n1)c4[nH]c5ccccc5n4,high-spin,high-spin,lig_83
XUGGEO,c1ccnc(c1)CN[C@@H]2CCCC[C@H]2NCc3ccccn3,spin-crossover,high-spin,lig_84
XUGGEO02,c1ccnc(c1)CN[C@@H]2CCCC[C@H]2NCc3ccccn3,spin-crossover,low-spin,lig_84
XUGGEO01,c1ccnc(c1)CN[C@@H]2CCCC[C@H]2NCc3ccccn3,spin-crossover,high-spin,lig_84
XUGGEO03,c1ccnc(c1)CN[C@@H]2CCCC[C@H]2NCc3ccccn3,spin-crossover,low-spin,lig_84
XUGGUE,c1ccnc(c1)CN[C@@H]2CCCC[C@H]2NCc3ccccn3,high-spin,high-spin,lig_84
JAQVOM,Cn1cnc(n1)c2cccc(n2)c3ccccn3,spin-crossover,low-spin,lig_85
DUSMAH,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,spin-crossover,high-spin,lig_86
DUSMAH03,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,spin-crossover,low-spin,lig_86
DUSMUB,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,high-spin,high-spin,lig_86
AWUKEK01,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,high-spin,high-spin,lig_86
IZADEU,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,spin-crossover,high-spin,lig_86
IZADEU01,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,spin-crossover,mixture,lig_86
IZADOE,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,high-spin,high-spin,lig_86
IZADUK01,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,spin-crossover,high-spin,lig_86
IZADUK,CC1(COC(=N1)c2cccc(n2)C3=NC(CO3)(C)C)C,spin-crossover,low-spin,lig_86
FIWXOZ02,[B-](c1ccc(cc1)C#C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,spin-crossover,high-spin,lig_87
FIWXOZ,[B-](c1ccc(cc1)C#C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,spin-crossover,low-spin,lig_87
FIWXOZ01,[B-](c1ccc(cc1)C#C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,spin-crossover,mixture,lig_87
GAPSIA,c1cc(nc(c1)n2cccn2)n3cccn3,high-spin,high-spin,lig_88
ADIYUH,c1cc(nc(c1)n2cccn2)n3cccn3,high-spin,high-spin,lig_88
GAPSOG,c1cc(nc(c1)n2cccn2)n3cccn3,high-spin,high-spin,lig_88
OZOGIV,c1cc(nc(c1)n2cccn2)n3cccn3,high-spin,high-spin,lig_88
ECELAA,c1cc(nc(c1)n2cccn2)n3cccn3,high-spin,high-spin,lig_88
ECELEE01,c1cc(nc(c1)n2cccn2)n3cccn3,spin-crossover,mixture,lig_88
XENBEX06,c1cc(nc(c1)n2cccn2)n3cccn3,spin-crossover,high-spin,lig_88
XENBEX07,c1cc(nc(c1)n2cccn2)n3cccn3,spin-crossover,low-spin,lig_88
ADIYOB,c1cc(nc(c1)n2cccn2)n3cccn3,spin-crossover,low-spin,lig_88
LUXMOH,c1cc(nc(c1)n2cccn2)n3cccn3,spin-crossover,high-spin,lig_88
LUXMOH01,c1cc(nc(c1)n2cccn2)n3cccn3,spin-crossover,low-spin,lig_88
ZUBNAO01,c1ccc2c(c1)cc3ccccc3c2c4[nH]c5c6cccnc6c7c(c5n4)cccn7,spin-crossover,high-spin,lig_89
ZUBNAO,c1ccc2c(c1)cc3ccccc3c2c4[nH]c5c6cccnc6c7c(c5n4)cccn7,spin-crossover,low-spin,lig_89
ZUBNES,c1ccc2c(c1)cc3ccccc3c2c4[nH]c5c6cccnc6c7c(c5n4)cccn7,spin-crossover,high-spin,lig_89
ZUBNIW01,c1ccc2c(c1)cc3ccccc3c2c4[nH]c5c6cccnc6c7c(c5n4)cccn7,spin-crossover,low-spin,lig_89
ZUBNOC,c1ccc2c(c1)cc3ccccc3c2c4[nH]c5c6cccnc6c7c(c5n4)cccn7,high-spin,high-spin,lig_89
XUGGIS01,c1ccnc(c1)CN[C@H]2CCCC[C@@H]2NCc3ccccn3,spin-crossover,high-spin,lig_90
XUGGIS,c1ccnc(c1)CN[C@H]2CCCC[C@@H]2NCc3ccccn3,spin-crossover,low-spin,lig_90
XUGHAL,c1ccnc(c1)CN[C@H]2CCCC[C@@H]2NCc3ccccn3,spin-crossover,high-spin,lig_90
XUGGIS02,c1ccnc(c1)CN[C@H]2CCCC[C@@H]2NCc3ccccn3,spin-crossover,low-spin,lig_90
YUZTUJ,c1cc(c[nH+]c1)c2cc(nc(c2)n3cccn3)n4cccn4,spin-crossover,low-spin,lig_91
DEDNOQ,c1cnn(c1)c2cncc(n2)n3cccn3,high-spin,high-spin,lig_92
JAFCEZ,c1cnn(c1)c2cncc(n2)n3cccn3,spin-crossover,high-spin,lig_92
JAFCEZ01,c1cnn(c1)c2cncc(n2)n3cccn3,spin-crossover,low-spin,lig_92
EMIPIZ01,c1cnn(c1)c2cncc(n2)n3cccn3,spin-crossover,high-spin,lig_92
ULODUV,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,high-spin,high-spin,lig_93
ULOFAD,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,high-spin,high-spin,lig_93
ULOFEH,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,high-spin,high-spin,lig_93
NAVYEP,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,high-spin,lig_93
YELWOC,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,high-spin,lig_93
YELWOC01,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,mixture,lig_93
YELWUI,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,high-spin,lig_93
YELWUI02,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,low-spin,lig_93
YELXET,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,high-spin,lig_93
YELXET01,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,low-spin,lig_93
YELXAP,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,high-spin,lig_93
ULODIJ,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,high-spin,lig_93
ULODIJ01,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,mixture,lig_93
NAVYEP01,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,spin-crossover,low-spin,lig_93
BOCYOK02,Cn1ccnc1C(=O)c2nccn2C,spin-crossover,high-spin,lig_94
BOCYOK,Cn1ccnc1C(=O)c2nccn2C,spin-crossover,low-spin,lig_94
BOCZEB03,Cn1ccnc1C(=O)c2nccn2C,spin-crossover,high-spin,lig_94
BOCZEB,Cn1ccnc1C(=O)c2nccn2C,spin-crossover,low-spin,lig_94
VUJRIC,Cc1cc(n(n1)[C-](n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,spin-crossover,low-spin,lig_95
QOSVOJ,c1ccc(cc1)c2nc(c[nH]2)/C=N/CCN(CC/N=C/c3nc([nH]c3)c4ccccc4)CC/N=C/c5nc([nH]c5)c6ccccc6,high-spin,high-spin,lig_96
DOQRAC,CC#N,spin-crossover,high-spin,lig_97
DOQRAC01,CC#N,spin-crossover,low-spin,lig_97
YAGYUB01,c1nnnn1CCI,spin-crossover,high-spin,lig_98
YAGYUB,c1nnnn1CCI,spin-crossover,low-spin,lig_98
TESMAF,Cc1nc(nn1C)c2ccc3ccc4cccnc4c3n2,spin-crossover,mixture,lig_99
TESLUY,Cc1nc(nn1C)c2ccc3ccc4cccnc4c3n2,low-spin,low-spin,lig_99
LINRAC,c1ccc(cc1)C[N@@](CCN(Cc2ccccn2)Cc3ccccn3)Cc4ccccn4,high-spin,high-spin,lig_100
HAXHIY,c1ccc(cc1)C[N@@](CCN(Cc2ccccn2)Cc3ccccn3)Cc4ccccn4,low-spin,low-spin,lig_100
GOGDUB,c1ccnc(c1)Nc2ccc3ccc4cccnc4c3n2,low-spin,low-spin,lig_101
FOYYAU,c1cnn(c1)c2cc(cc(n2)n3cccn3)CSC#N,high-spin,high-spin,lig_102
FOYYAU06,c1cnn(c1)c2cc(cc(n2)n3cccn3)CSC#N,spin-crossover,high-spin,lig_102
FOYYAU02,c1cnn(c1)c2cc(cc(n2)n3cccn3)CSC#N,spin-crossover,low-spin,lig_102
FOSBOG,c1ccc2cc(ccc2c1)c3cc(n[nH]3)c4cccc(n4)c5cc([nH]n5)c6ccc7ccccc7c6,high-spin,high-spin,lig_103
FOSCAT,c1ccc2cc(ccc2c1)c3cc(n[nH]3)c4cccc(n4)c5cc([nH]n5)c6ccc7ccccc7c6,spin-crossover,mixture,lig_103
FOSCEX,c1ccc2cc(ccc2c1)c3cc(n[nH]3)c4cccc(n4)c5cc([nH]n5)c6ccc7ccccc7c6,spin-crossover,high-spin,lig_103
FOSCEX01,c1ccc2cc(ccc2c1)c3cc(n[nH]3)c4cccc(n4)c5cc([nH]n5)c6ccc7ccccc7c6,spin-crossover,mixture,lig_103
FOSCOH,c1ccc2cc(ccc2c1)c3cc(n[nH]3)c4cccc(n4)c5cc([nH]n5)c6ccc7ccccc7c6,spin-crossover,mixture,lig_103
GAKKOS03,C1CSC(=N1)C2=NCCS2,spin-crossover,high-spin,lig_104
GAKKOS05,C1CSC(=N1)C2=NCCS2,spin-crossover,low-spin,lig_104
GAKKOS04,C1CSC(=N1)C2=NCCS2,high-spin,high-spin,lig_104
POHLON,c1cc2c(c3c1nccn3)nccn2,spin-crossover,high-spin,lig_105
POHLON01,c1cc2c(c3c1nccn3)nccn2,spin-crossover,low-spin,lig_105
REWPUF,c1cc(nc(c1)n2cc(cn2)Cl)n3cc(cn3)Cl,spin-crossover,high-spin,lig_106
REWPUF02,c1cc(nc(c1)n2cc(cn2)Cl)n3cc(cn3)Cl,spin-crossover,low-spin,lig_106
ABIWAK,Cn1cnc(n1)c2cnccn2,spin-crossover,low-spin,lig_107
MIWJUZ,c1ccnc(c1)c2cccc(n2)CCc3cccc(n3)c4ccccn4,high-spin,high-spin,lig_108
HIXFUQ01,CCCCCCOc1c(nc(cc1)/C=N/CCN(CC/N=C/c2nc(c(cc2)OCCCCCC)C)CC/N=C/c3nc(c(cc3)OCCCCCC)C)C,spin-crossover,high-spin,lig_109
HIXFUQ,CCCCCCOc1c(nc(cc1)/C=N/CCN(CC/N=C/c2nc(c(cc2)OCCCCCC)C)CC/N=C/c3nc(c(cc3)OCCCCCC)C)C,spin-crossover,low-spin,lig_109
GAPSUM,c1ccc(cc1)c2ccn(n2)c3cccc(n3)n4ccc(n4)c5ccccc5,high-spin,high-spin,lig_110
GAPSUM01,c1ccc(cc1)c2ccn(n2)c3cccc(n3)n4ccc(n4)c5ccccc5,high-spin,high-spin,lig_110
AKENAF,CC(C)/N=C/c1ccccn1,spin-crossover,high-spin,lig_111
AKENAF01,CC(C)/N=C/c1ccccn1,spin-crossover,low-spin,lig_111
AKEMUY,CC(C)/N=C/c1ccccn1,spin-crossover,low-spin,lig_111
XADFEN,Cc1nc(no1)c2cccc(n2)c3ccccn3,spin-crossover,low-spin,lig_112
LAYREJ01,c1ccnc(c1)c2cc[nH]n2,high-spin,high-spin,lig_113
LAYQUY,c1ccnc(c1)c2cc[nH]n2,high-spin,high-spin,lig_113
YECMAW,c1ccnc(c1)N(c2ccccn2)c3cccc(n3)N(c4ccccn4)c5ccccn5,spin-crossover,low-spin,lig_114
DULBUK02,CC1(CSC(=N1)c2cccc(n2)C3=NC(CS3)(C)C)C,spin-crossover,high-spin,lig_115
DULBUK,CC1(CSC(=N1)c2cccc(n2)C3=NC(CS3)(C)C)C,spin-crossover,low-spin,lig_115
DULCIZ,CC1(CSC(=N1)c2cccc(n2)C3=NC(CS3)(C)C)C,spin-crossover,low-spin,lig_115
DULCOF,CC1(CSC(=N1)c2cccc(n2)C3=NC(CS3)(C)C)C,spin-crossover,low-spin,lig_115
UFIPIJ01,c1ccc(cc1)N=C(c2ccccn2)c3ccccn3,spin-crossover,high-spin,lig_116
UFIPIJ,c1ccc(cc1)N=C(c2ccccn2)c3ccccn3,spin-crossover,low-spin,lig_116
XOCFIF,CC(=O)Sc1ccc(cc1)C#Cc2cc(nc(c2)n3cccn3)n4cccn4,spin-crossover,low-spin,lig_117
RUCJEF,c1ccnc(c1)C(c2ccccn2)(c3ccccn3)c4ccccn4,low-spin,low-spin,lig_118
MEQXIS01,Cc1nc(cs1)c2cccc(n2)c3csc(n3)C,spin-crossover,high-spin,lig_119
MEQXIS,Cc1nc(cs1)c2cccc(n2)c3csc(n3)C,spin-crossover,low-spin,lig_119
MEQVEM02,Cc1nc(cs1)c2cccc(n2)c3csc(n3)C,spin-crossover,high-spin,lig_119
MEQVEM,Cc1nc(cs1)c2cccc(n2)c3csc(n3)C,spin-crossover,low-spin,lig_119
OCEVEA01,Cc1nc(cs1)c2cccc(n2)c3csc(n3)C,spin-crossover,high-spin,lig_119
OCEVEA,Cc1nc(cs1)c2cccc(n2)c3csc(n3)C,spin-crossover,low-spin,lig_119
HOLSUZ,c1ccc(cc1)C[N@](CC[N@@](Cc2ccccc2)Cc3ccccn3)Cc4ccccn4,spin-crossover,high-spin,lig_120
HOLTUA,c1ccc(cc1)C[N@](CC[N@@](Cc2ccccc2)Cc3ccccn3)Cc4ccccn4,high-spin,high-spin,lig_120
HOLTOU,c1ccc(cc1)C[N@](CC[N@@](Cc2ccccc2)Cc3ccccn3)Cc4ccccn4,high-spin,high-spin,lig_120
HOLTEK,c1ccc(cc1)C[N@](CC[N@@](Cc2ccccc2)Cc3ccccn3)Cc4ccccn4,spin-crossover,high-spin,lig_120
HOLSOT,c1ccc(cc1)C[N@](CC[N@@](Cc2ccccc2)Cc3ccccn3)Cc4ccccn4,spin-crossover,low-spin,lig_120
KIFLOD,c1ccnc(c1)C[N@@]2CCC[N@]3CC[N@](CCC[N@](CC3)Cc4ccccn4)CC2,spin-crossover,low-spin,lig_121
KIFMAQ01,c1ccnc(c1)C[N@@]2CCC[N@]3CC[N@](CCC[N@](CC3)Cc4ccccn4)CC2,spin-crossover,high-spin,lig_121
KIFMAQ,c1ccnc(c1)C[N@@]2CCC[N@]3CC[N@](CCC[N@](CC3)Cc4ccccn4)CC2,spin-crossover,low-spin,lig_121
CERDEJ01,[B-](c1ccccc1)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,high-spin,high-spin,lig_122
YAGYIP01,c1nnnn1CCBr,spin-crossover,high-spin,lig_123
YAGYIP,c1nnnn1CCBr,spin-crossover,low-spin,lig_123
WIDGOG,C(#N)[N-]C#N,high-spin,high-spin,lig_124
HAXHIY,C(#N)[N-]C#N,low-spin,low-spin,lig_124
YUJBUB01,Cc1ccn(n1)C(n2ccc(n2)C)n3c(ccn3)C,spin-crossover,mixture,lig_125
YUJBUB,Cc1ccn(n1)C(n2ccc(n2)C)n3c(ccn3)C,spin-crossover,low-spin,lig_125
QIDKAQ,CCn1nc(nn1)c2ccc3ccc4cccnc4c3n2,spin-crossover,low-spin,lig_126
QIDKEU,CCn1nc(nn1)c2ccc3ccc4cccnc4c3n2,spin-crossover,low-spin,lig_126
GAPTIB,c1cc(nc(c1)n2ccc(n2)CO)n3ccc(n3)CO,high-spin,high-spin,lig_127
UZELAN,Cc1cc(n(n1)CN(Cn2c(cc(n2)C)C)Cn3c(cc(n3)C)C)C,high-spin,high-spin,lig_128
ATAVEY01,c1cc2c3c(c4cccnc4c2nc1)nc([nH]3)c5cccs5,spin-crossover,high-spin,lig_129
ATAVEY,c1cc2c3c(c4cccnc4c2nc1)nc([nH]3)c5cccs5,spin-crossover,low-spin,lig_129
NOWBIK01,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,spin-crossover,high-spin,lig_130
NOWBIK,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,spin-crossover,low-spin,lig_130
WATJEJ,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,spin-crossover,mixture,lig_130
WATJEJ01,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,spin-crossover,low-spin,lig_130
KEKVIF,c1cc2ccc3cccnc3c2nc1,spin-crossover,high-spin,lig_131
KEKVIF01,c1cc2ccc3cccnc3c2nc1,spin-crossover,low-spin,lig_131
OCOPAA,c1cc2ccc3cccnc3c2nc1,low-spin,low-spin,lig_131
IQIJAT02,c1ccnc(c1)CN(CCCN)CCCN,spin-crossover,high-spin,lig_132
IQIJAT,c1ccnc(c1)CN(CCCN)CCCN,spin-crossover,low-spin,lig_132
WEKJED,C/C(=N\CCN)/c1ccccn1,low-spin,low-spin,lig_133
NEFSIA01,c1ccnc(c1)CN(CCN)Cc2ccccn2,spin-crossover,high-spin,lig_134
NEFSIA02,c1ccnc(c1)CN(CCN)Cc2ccccn2,spin-crossover,low-spin,lig_134
TIHTAF01,c1ccnc(c1)CN(CCN)Cc2ccccn2,spin-crossover,high-spin,lig_134
TIHTAF,c1ccnc(c1)CN(CCN)Cc2ccccn2,spin-crossover,low-spin,lig_134
CECVUD,c1ccc2c(c1)ccc(n2)CN(Cc3ccccn3)Cc4ccccn4,high-spin,high-spin,lig_135
POGXOA,c1ccnc(c1)c2csc(n2)N,high-spin,high-spin,lig_136
POGXUG,c1ccnc(c1)c2csc(n2)N,high-spin,high-spin,lig_136
TULHEQ,CCc1cccc(c1n2c(cc(n2)c3cccc(n3)c4cc(n(n4)c5c(cccc5CC)CC)O)O)CC,spin-crossover,low-spin,lig_137
ATAVAU,c1cc2c3c(c4cccnc4c2nc1)nc([nH]3)c5ccsc5,spin-crossover,low-spin,lig_138
EGIPOC,CCCCCCCCCCCCCCCCn1c2ccccc2nc1c3cc(cc(n3)c4nc5ccccc5n4CCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC,spin-crossover,low-spin,lig_139
NIXXEA,Cc1c(c(c(c(c1C)C)c2cc(n[nH]2)c3cccc(n3)c4[nH]c5ccccc5n4)C)C,high-spin,high-spin,lig_140
QIDLUL,CCCCCCCCCCCCCCCCn1nc(nn1)c2ccc3ccc4cccnc4c3n2,spin-crossover,high-spin,lig_141
QIDLUL01,CCCCCCCCCCCCCCCCn1nc(nn1)c2ccc3ccc4cccnc4c3n2,spin-crossover,mixture,lig_141
RESWIW,[B-](n1ccc(n1)C2CC2)(n3ccc(n3)C4CC4)(n5ccc(n5)C6CC6)n7ccc(n7)C8CC8,spin-crossover,high-spin,lig_142
RESWIW01,[B-](n1ccc(n1)C2CC2)(n3ccc(n3)C4CC4)(n5ccc(n5)C6CC6)n7ccc(n7)C8CC8,spin-crossover,mixture,lig_142
QIDJET,c1cc2ccc3ccc(nc3c2nc1)c4[n-]nnn4,spin-crossover,high-spin,lig_143
QIDJET01,c1cc2ccc3ccc(nc3c2nc1)c4[n-]nnn4,spin-crossover,low-spin,lig_143
QIDJIX,c1cc2ccc3ccc(nc3c2nc1)c4[n-]nnn4,spin-crossover,low-spin,lig_143
XODCEB,c1ccc(cc1)c2cc(n[nH]2)c3cccc(n3)c4[n-]c5ccccc5n4,low-spin,low-spin,lig_144
DUCFOW,c1ccnc(c1)CN2CCN(CCN(CC2)Cc3ccccn3)Cc4ccccn4,low-spin,low-spin,lig_145
YAMXAL,c1ccnc(c1)CN(Cc2ccccn2)[C@@H]3CCCC[C@H]3N(Cc4ccccn4)Cc5ccccn5,spin-crossover,low-spin,lig_146
WIFZUG,c1ccc(cc1)/C=C/c2ccncc2,spin-crossover,high-spin,lig_147
JAFBOI01,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,spin-crossover,high-spin,lig_148
JAFBOI03,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,spin-crossover,low-spin,lig_148
JAFBUO01,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,spin-crossover,high-spin,lig_148
JAFBUO03,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,spin-crossover,low-spin,lig_148
OBUJAW,[BH-](n1ccc(n1)C(F)(F)F)(n2ccc(n2)C(F)(F)F)n3ccc(n3)C(F)(F)F,high-spin,high-spin,lig_149
OBUJAW,[BH-](n1ccc(n1)C(F)(F)F)(n2ccc(n2)C(F)(F)F)n3ccc(n3)C(F)(F)F,high-spin,high-spin,lig_149
