Unnamed: 0,smi,chg,coord_no,memo
MALJIT01_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
MALJIT03_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
MALJOZ_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
MALJOZ01_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
FIWXOZ02_ligands0.mol2,[B-](c1ccc(cc1)C#C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
FIWXOZ_ligands0.mol2,[B-](c1ccc(cc1)C#C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
HPZBFE_ligands0.mol2,[BH-](n1cccn1)(n2cccn2)n3cccn3,-1,3,
HPZBFE_ligands1.mol2,[BH-](n1cccn1)(n2cccn2)n3cccn3,-1,3,
HOQFID_ligands0.mol2,[B-](C(C)(C)C)(n1ccc(n1)C)(n2ccc(n2)C)n3ccc(n3)C,-1,3,
MALJEP_ligands0.mol2,[B-](c1ccc(cc1)I)(n2cccn2)(n3cccn3)n4cccn4,-1,3,
MOFREE_ligands1.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
MOFREE_ligands0.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
MOFRAA_ligands0.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
MOFRAA_ligands1.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
VUJRIC_ligands0.mol2,Cc1cc(n(n1)[C-](n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,-1,3,生成されたSMILESはCc1cc(n(n1)[C+](n2c(cc(n2)C)C)n3c(cc(n3)C)C)C
YUJBUB01_ligands0.mol2,Cc1ccn(n1)C(n2ccc(n2)C)n3c(ccn3)C,0,3,
YUJBUB_ligands0.mol2,Cc1ccn(n1)C(n2ccc(n2)C)n3c(ccn3)C,0,3,
YIMYEZ_ligands1.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
YIMYEZ_ligands0.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
YIMYEZ02_ligands0.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
YIMYEZ02_ligands1.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
YIMYEZ01_ligands1.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
YIMYEZ01_ligands0.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
YIMYID04_ligands0.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
YIMYID04_ligands1.mol2,Cc1cnn(c1)C(n2cc(cn2)C)n3cc(cn3)C,0,3,
YIMYID02_ligands1.mol2,Cc1cnn(c1)C(n2cc(cn2)C)n3cc(cn3)C,0,3,
YIMYID02_ligands0.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
YIMYOJ_ligands0.mol2,c1cnn(c1)C(CO)(n2cccn2)n3cccn3,0,3,
YIMYOJ_ligands1.mol2,Cc1cc(n(n1)C(n2c(cc(n2)C)C)n3c(cc(n3)C)C)C,0,3,
XAMNII_ligands0.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
XAMNII_ligands1.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
XAMNII01_ligands1.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
XAMNII01_ligands0.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
XEVYUS_ligands1.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
XEVYUS_ligands0.mol2,c1cnn(c1)C(n2cccn2)n3cccn3,0,3,
JIQDAP_ligands0.mol2,c1c(n[nH]c1)/C=N/CCN(CC/N=C/c2n[nH]cc2)CC/N=C/c3n[nH]cc3,0,6,
ISULAJ_ligands0.mol2,c1c(n[nH]c1)/C=N/CCN(CC/N=C/c2n[nH]cc2)CC/N=C/c3n[nH]cc3,0,6,
GAZQUT_ligands0.mol2,c1ccc(cc1)C(n2cnc(c2)/C=N/CCN(CC/N=C/c3ncn(c3)C(c4ccccc4)(c5ccccc5)c6ccccc6)CC/N=C/c7ncn(c7)C(c8ccccc8)(c9ccccc9)c1ccccc1)(c1ccccc1)c1ccccc1,0,6,
QOSVOJ_ligands0.mol2,c1ccc(cc1)c2nc(c[nH]2)/C=N/CCN(CC/N=C/c3nc([nH]c3)c4ccccc4)CC/N=C/c5nc([nH]c5)c6ccccc6,0,6,
ULODUV_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
ULOFAD_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
ULOFEH_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
NIQFUP11_ligands0.mol2,Cc1nc(ccc1)/C=N/CCN(CC/N=C/c2nc(ccc2)C)CC/N=C/c3nc(ccc3)C,0,6,
NIQFUP_ligands0.mol2,Cc1nc(ccc1)/C=N/CCN(CC/N=C/c2nc(ccc2)C)CC/N=C/c3nc(ccc3)C,0,6,
HIXFUQ01_ligands0.mol2,CCCCCCOc1c(nc(cc1)/C=N/CCN(CC/N=C/c2nc(c(cc2)OCCCCCC)C)CC/N=C/c3nc(c(cc3)OCCCCCC)C)C,0,6,
HIXFUQ_ligands0.mol2,CCCCCCOc1c(nc(cc1)/C=N/CCN(CC/N=C/c2nc(c(cc2)OCCCCCC)C)CC/N=C/c3nc(c(cc3)OCCCCCC)C)C,0,6,
JIQDET_ligands0.mol2,c1c(n[nH]c1)/C=N/CCN(CC/N=C/c2n[nH]cc2)CC/N=C/c3n[nH]cc3,0,6,
JIQDET04_ligands0.mol2,c1c(n[nH]c1)/C=N/CCN(CC/N=C/c2n[nH]cc2)CC/N=C/c3n[nH]cc3,0,6,
EBUQAU01_ligands0.mol2,c1[nH]cnc1/C=N/CCN(CC/N=C/c2nc[nH]c2)CC/N=C/c3nc[nH]c3,0,6,
EBUQAU_ligands0.mol2,c1[nH]cnc1/C=N/CCN(CC/N=C/c2nc[nH]c2)CC/N=C/c3nc[nH]c3,0,6,
NAVYEP_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
YELWOC_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
YELWOC01_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
YELWUI_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
YELWUI02_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
YELXET_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
YELXET01_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
YELXAP_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
ULODIJ_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
ULODIJ01_ligands0.mol2,Cc1nc(c[nH]1)/C=N/CCN(CC/N=C/c2nc([nH]c2)C)CC/N=C/c3nc([nH]c3)C,0,6,
PASDOD01_ligands0.mol2,Cc1[nH]cnc1/C=N/CCN(CC/N=C/c2nc[nH]c2C)CC/N=C/c3nc[nH]c3C,0,6,
