ccdc_id,coord_no_1,coord_no_2,coord_no_3,coord_no_4,coord_no_5,coord_no_6
FIWXOZ,0.0,0.0,2.0,0.0,0.0,0.0
FIWXOZ01,0.0,0.0,2.0,0.0,0.0,0.0
FIWXOZ02,0.0,0.0,2.0,0.0,0.0,0.0
FOSBOG,0.0,0.0,2.0,0.0,0.0,0.0
FOSCAT,0.0,0.0,2.0,0.0,0.0,0.0
FOSCEX,0.0,0.0,2.0,0.0,0.0,0.0
FOSCEX01,0.0,0.0,2.0,0.0,0.0,0.0
FOSCOH,0.0,0.0,2.0,0.0,0.0,0.0
FOYYAU,0.0,0.0,2.0,0.0,0.0,0.0
FOYYAU02,0.0,0.0,2.0,0.0,0.0,0.0
FOYYAU06,0.0,0.0,2.0,0.0,0.0,0.0
GAKKOS03,2.0,2.0,0.0,0.0,0.0,0.0
GAKKOS04,2.0,2.0,0.0,0.0,0.0,0.0
GAKKOS05,2.0,2.0,0.0,0.0,0.0,0.0
GAPSIA,0.0,0.0,2.0,0.0,0.0,0.0
GAPSOG,0.0,0.0,2.0,0.0,0.0,0.0
GAPSUM,0.0,0.0,2.0,0.0,0.0,0.0
GAPSUM01,0.0,0.0,2.0,0.0,0.0,0.0
GAPTAT,0.0,0.0,2.0,0.0,0.0,0.0
GAPTEX,0.0,0.0,2.0,0.0,0.0,0.0
GAPTIB,0.0,0.0,2.0,0.0,0.0,0.0
GAZQUT,0.0,0.0,0.0,0.0,0.0,1.0
GIVZAN,0.0,0.0,2.0,0.0,0.0,0.0
GIVZER,0.0,0.0,2.0,0.0,0.0,0.0
GIVZIV,0.0,0.0,2.0,0.0,0.0,0.0
GOGDUB,0.0,0.0,2.0,0.0,0.0,0.0
HAPDOU,2.0,0.0,0.0,1.0,0.0,0.0
HAXHIY,1.0,0.0,0.0,0.0,1.0,0.0
HECBUO,0.0,0.0,2.0,0.0,0.0,0.0
HECCEZ,0.0,0.0,2.0,0.0,0.0,0.0
HECCID,0.0,0.0,2.0,0.0,0.0,0.0
HECCOJ,0.0,0.0,2.0,0.0,0.0,0.0
HECCOJ01,0.0,0.0,2.0,0.0,0.0,0.0
HIXDOK,0.0,0.0,2.0,0.0,0.0,0.0
HIXDOK01,0.0,0.0,2.0,0.0,0.0,0.0
HIXFOK,0.0,0.0,0.0,0.0,0.0,1.0
HIXFUQ,0.0,0.0,0.0,0.0,0.0,1.0
HIXFUQ01,0.0,0.0,0.0,0.0,0.0,1.0
HMPBFE,0.0,0.0,2.0,0.0,0.0,0.0
HOLSIN,2.0,0.0,0.0,1.0,0.0,0.0
HOLSOT,2.0,0.0,0.0,1.0,0.0,0.0
HOLSUZ,2.0,0.0,0.0,1.0,0.0,0.0
HOLTAG,2.0,0.0,0.0,1.0,0.0,0.0
