ccdc_id,coord_no_1,coord_no_2,coord_no_3,coord_no_4,coord_no_5,coord_no_6
XENBEX06,0.0,0.0,2.0,0.0,0.0,0.0
XENBEX07,0.0,0.0,2.0,0.0,0.0,0.0
XEVYUS,0.0,0.0,2.0,0.0,0.0,0.0
XOCFIF,0.0,0.0,2.0,0.0,0.0,0.0
XODCEB,0.0,0.0,2.0,0.0,0.0,0.0
XUGGEO,2.0,0.0,0.0,1.0,0.0,0.0
XUGGEO01,2.0,0.0,0.0,1.0,0.0,0.0
XUGGEO02,2.0,0.0,0.0,1.0,0.0,0.0
XUGGEO03,2.0,0.0,0.0,1.0,0.0,0.0
XUGGIS,2.0,0.0,0.0,1.0,0.0,0.0
XUGGIS01,2.0,0.0,0.0,1.0,0.0,0.0
XUGGIS02,2.0,0.0,0.0,1.0,0.0,0.0
XUGGUE,2.0,0.0,0.0,1.0,0.0,0.0
XUGHAL,2.0,0.0,0.0,1.0,0.0,0.0
YAGYIP,6.0,0.0,0.0,0.0,0.0,0.0
YAGYIP01,6.0,0.0,0.0,0.0,0.0,0.0
YAGYUB,6.0,0.0,0.0,0.0,0.0,0.0
YAGYUB01,6.0,0.0,0.0,0.0,0.0,0.0
YAMXAL,0.0,0.0,0.0,0.0,0.0,1.0
YECMAW,0.0,0.0,2.0,0.0,0.0,0.0
YELWOC,0.0,0.0,0.0,0.0,0.0,1.0
YELWOC01,0.0,0.0,0.0,0.0,0.0,1.0
YELWUI,0.0,0.0,0.0,0.0,0.0,1.0
YELWUI02,0.0,0.0,0.0,0.0,0.0,1.0
YELXAP,0.0,0.0,0.0,0.0,0.0,1.0
YELXET,0.0,0.0,0.0,0.0,0.0,1.0
YELXET01,0.0,0.0,0.0,0.0,0.0,1.0
YEQKIR,6.0,0.0,0.0,0.0,0.0,0.0
YIMYEZ,0.0,0.0,2.0,0.0,0.0,0.0
YIMYEZ01,0.0,0.0,2.0,0.0,0.0,0.0
YIMYEZ02,0.0,0.0,2.0,0.0,0.0,0.0
YIMYID02,0.0,0.0,2.0,0.0,0.0,0.0
YIMYID04,0.0,0.0,2.0,0.0,0.0,0.0
YIMYOJ,0.0,0.0,2.0,0.0,0.0,0.0
YIVSEB,0.0,3.0,0.0,0.0,0.0,0.0
YUJBUB,0.0,0.0,2.0,0.0,0.0,0.0
YUJBUB01,0.0,0.0,2.0,0.0,0.0,0.0
YUYHOR,2.0,0.0,0.0,1.0,0.0,0.0
YUYHOR01,2.0,0.0,0.0,1.0,0.0,0.0
YUZTIX,0.0,0.0,2.0,0.0,0.0,0.0
YUZTOD,0.0,0.0,2.0,0.0,0.0,0.0
YUZTUJ,0.0,0.0,2.0,0.0,0.0,0.0
ZEQMEP02,0.0,0.0,2.0,0.0,0.0,0.0
ZIKKUC,0.0,0.0,2.0,0.0,0.0,0.0
ZIKKUC04,0.0,0.0,2.0,0.0,0.0,0.0
ZIKMAK05,0.0,0.0,2.0,0.0,0.0,0.0
ZIKMAK09,0.0,0.0,2.0,0.0,0.0,0.0
ZIMMAJ,0.0,3.0,0.0,0.0,0.0,0.0
ZOKBOQ,0.0,0.0,2.0,0.0,0.0,0.0
ZOYKUV,2.0,2.0,0.0,0.0,0.0,0.0
ZOYKUV01,2.0,2.0,0.0,0.0,0.0,0.0
ZUBNAO,2.0,2.0,0.0,0.0,0.0,0.0
ZUBNAO01,2.0,2.0,0.0,0.0,0.0,0.0
ZUBNES,2.0,2.0,0.0,0.0,0.0,0.0
ZUBNIW01,2.0,2.0,0.0,0.0,0.0,0.0
ZUBNOC,2.0,2.0,0.0,0.0,0.0,0.0
ZUCROE,2.0,2.0,0.0,0.0,0.0,0.0
ZUCROE01,2.0,2.0,0.0,0.0,0.0,0.0
