ccdc_id,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,ion_1,ion_2,ion_3,ion_4,ion_5,ion_6,ion_7,ion_8,ion_9,ion_10,ion_11,ion_12,ion_13,ion_14,ion_15,ion_16,ion_17,ion_18,ion_19,ion_20,ion_21,ion_22,ion_23,ion_24,ion_25,ion_26,ion_27,ion_28,ion_29,ion_30,ion_31,solv_1,solv_2,solv_3,solv_4,solv_5,solv_6,solv_7,solv_8,solv_9,solv_10,solv_11,solv_12,solv_13,solv_14,solv_15,solv_16,solv_17,solv_18,solv_19,solv_20,solv_21
WIGBAP,3.3489,33.3792,46.665,78.9828,676.0,1092.0,1560.0,2288.0,10.0,18.0,96.0,168.0,204.0,1.5625,5.625,9.625,13.95,636.2063,1418.0544,2362.9108,3268.3896,3470.0,7680.0,11390.0,14560.0,107.0,228.0,374.0,536.0,602.0,1560.0,2380.0,2952.0,45.0585,112.6744,174.3402,228.0404,-7.26,-7.2,-10.22,114.0,200.0,380.0,20.0,32.0,74.0,3.0,4.8,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XADFEN,3.3489,33.3792,55.998,78.4338,676.0,1092.0,1872.0,2392.0,12.0,16.0,108.0,216.0,252.0,1.5625,5.625,11.55,14.25,366.8139,871.2428,1635.2968,2256.916,2152.0,5600.0,10018.0,13212.0,57.0,132.0,242.0,336.0,374.0,1036.0,1838.0,2488.0,25.2817,69.342,123.7674,168.6232,-7.26,-8.64,-13.58,114.0,240.0,324.0,18.0,36.0,54.0,3.0,5.76,8.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAMNII,3.3489,33.3792,61.3782,89.487,676.0,1092.0,2028.0,2340.0,12.0,20.0,108.0,216.0,300.0,1.5625,5.625,11.4,16.25,341.0981,837.1896,1642.1316,2327.418,2004.0,5388.0,10038.0,12744.0,53.0,124.0,234.0,340.0,358.0,1024.0,1890.0,2544.0,22.9085,64.4156,118.9698,162.6004,-7.26,-11.58,-12.3,114.0,234.0,430.0,18.0,36.0,70.0,3.0,5.88,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAMNII01,3.3489,33.3792,61.3782,89.487,676.0,1092.0,2028.0,2340.0,12.0,20.0,108.0,216.0,300.0,1.5625,5.625,11.4,16.25,341.0981,837.1896,1642.1316,2327.418,2004.0,5388.0,10038.0,12744.0,53.0,124.0,234.0,340.0,358.0,1024.0,1890.0,2544.0,22.9085,64.4156,118.9698,162.6004,-7.26,-11.58,-12.3,114.0,234.0,430.0,18.0,36.0,70.0,3.0,5.88,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XECMIB01,3.3489,33.3792,46.665,62.8788,676.0,1092.0,1560.0,2184.0,10.0,14.0,96.0,168.0,180.0,1.5625,5.625,9.625,12.1,571.4763,1302.2844,2236.7828,3106.9336,3318.0,7440.0,11526.0,14728.0,95.0,208.0,350.0,500.0,558.0,1476.0,2356.0,2940.0,41.5917,105.7444,169.9026,223.0376,-7.26,-7.2,-8.74,114.0,200.0,280.0,20.0,32.0,54.0,3.0,4.8,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
XECMIB02,3.3489,33.3792,46.665,62.8788,676.0,1092.0,1560.0,2184.0,10.0,14.0,96.0,168.0,180.0,1.5625,5.625,9.625,12.1,571.4763,1302.2844,2236.7828,3106.9336,3318.0,7440.0,11526.0,14728.0,95.0,208.0,350.0,500.0,558.0,1476.0,2356.0,2940.0,41.5917,105.7444,169.9026,223.0376,-7.26,-7.2,-8.74,114.0,200.0,280.0,20.0,32.0,54.0,3.0,4.8,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
XECNAU,3.3489,33.3792,46.665,62.8788,676.0,1092.0,1560.0,2184.0,10.0,14.0,96.0,168.0,180.0,1.5625,5.625,9.625,12.1,491.6927,1103.4268,1879.1708,2596.0656,3074.0,6724.0,10326.0,13200.0,79.0,172.0,286.0,404.0,458.0,1204.0,1900.0,2316.0,35.6317,89.0832,141.4434,183.94,-7.26,-7.2,-8.74,114.0,200.0,280.0,20.0,32.0,54.0,3.0,4.8,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XECNAU01,3.3489,33.3792,46.665,62.8788,676.0,1092.0,1560.0,2184.0,10.0,14.0,96.0,168.0,180.0,1.5625,5.625,9.625,12.1,491.6927,1103.4268,1879.1708,2596.0656,3074.0,6724.0,10326.0,13200.0,79.0,172.0,286.0,404.0,458.0,1204.0,1900.0,2316.0,35.6317,89.0832,141.4434,183.94,-7.26,-7.2,-8.74,114.0,200.0,280.0,20.0,32.0,54.0,3.0,4.8,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEFDER02,3.3489,33.3792,61.3782,93.33,676.0,1092.0,2028.0,3120.0,12.0,20.0,108.0,216.0,408.0,1.5625,5.625,11.4,19.25,535.2881,1262.5296,2441.4876,3296.706,2460.0,6540.0,12102.0,17280.0,89.0,196.0,378.0,484.0,574.0,1528.0,2610.0,3840.0,33.3089,92.3204,163.9314,230.9332,-7.26,-11.58,-14.4,114.0,234.0,400.0,18.0,36.0,52.0,3.0,5.88,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEFDER06,3.3489,33.3792,61.3782,93.33,676.0,1092.0,2028.0,3120.0,12.0,20.0,108.0,216.0,408.0,1.5625,5.625,11.4,19.25,535.2881,1262.5296,2441.4876,3296.706,2460.0,6540.0,12102.0,17280.0,89.0,196.0,378.0,484.0,574.0,1528.0,2610.0,3840.0,33.3089,92.3204,163.9314,230.9332,-7.26,-11.58,-14.4,114.0,234.0,400.0,18.0,36.0,52.0,3.0,5.88,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
