ccdc_id,The zeta parameter,The delta parameter,The sigma parameter,The theta parameter,Mean M-L BL ,ion_1,ion_2,ion_3,ion_4,ion_5,ion_6,ion_7,ion_8,ion_9,ion_10,ion_11,ion_12,ion_13,ion_14,ion_15,ion_16,ion_17,ion_18,ion_19,ion_20,ion_21,ion_22,ion_23,ion_24,ion_25,ion_26,ion_27,ion_28,ion_29,ion_30,ion_31,solv_1,solv_2,solv_3,solv_4,solv_5,solv_6,solv_7,solv_8,solv_9,solv_10,solv_11,solv_12,solv_13,solv_14,solv_15,solv_16,solv_17,solv_18,solv_19,solv_20,solv_21
AKEMUY,0.096503,8.2e-05,38.053442,143.338736,1.96535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKENAF,0.247416,0.000438,60.68476,221.614099,2.112175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKENAF01,0.12495,0.000127,40.612767,147.455518,1.964841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APAFEH,0.128456,0.000117,49.828432,162.774257,2.007002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
APAFEM01,0.066427,3.2e-05,95.502499,292.951235,2.197803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
APAFEM05,0.097268,7.6e-05,57.369977,181.606706,2.016147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ATAVAU,0.143562,0.00017,39.599198,119.331917,1.961532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAVEY,0.131192,0.000139,38.664944,133.734858,1.974263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAVEY01,0.239042,0.000382,67.801355,283.110962,2.167627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWUKEK01,0.296891,0.000665,140.896414,471.754604,2.194495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
